heuristic,n10,n15,n20,n25,n30,n35,n40,n45,n50,n55,n60,n65,n70,n75,n80,n85,n90,n95,n100
optimizerOnly,100.00,100.00,101.98,102.10,101.71,101.52,100.97,100.59,101.42,100.78,103.18,100.51,103.65,100.23,105.45,100.09,101.70,100.99,100.20
topDown,153.76,189.95,157.05,150.94,142.65,140.75,130.26,132.37,146.98,153.07,148.93,145.31,142.50,149.17,135.05,158.11,146.18,137.55,133.59
bottomUp,100.00,101.34,104.37,102.33,101.18,102.46,100.89,101.41,101.49,101.19,102.00,100.93,100.91,102.01,100.98,100.73,100.64,101.67,100.55
euclidean,108.17,103.42,105.57,108.99,102.86,103.26,102.92,101.88,107.02,101.98,102.79,102.49,101.74,104.71,103.08,105.01,105.51,102.22,106.11
horizontal,150.88,132.03,130.70,129.73,135.32,123.60,118.94,122.35,131.83,123.45,132.64,125.87,119.97,132.14,118.37,124.00,124.86,131.06,127.86
hop,146.73,129.37,131.07,121.22,128.76,121.61,116.33,119.79,116.24,118.74,123.44,117.33,121.94,124.28,118.21,118.40,128.35,121.79,127.80
topDownPlus,100.00,104.97,102.07,105.49,101.66,100.47,101.21,100.78,100.29,100.41,101.51,100.31,100.13,100.39,103.82,100.42,100.26,100.97,104.14
bottomUpPlus,100.00,100.00,100.55,100.00,100.25,100.48,100.34,100.38,100.41,100.10,100.26,100.06,100.07,100.26,100.31,100.15,100.14,100.74,100.14
euclideanPlus,100.00,101.84,100.95,105.91,100.18,100.48,101.16,100.54,100.66,100.14,100.46,100.94,100.17,101.95,100.00,100.50,101.06,100.64,104.38
horizontalPlus,100.00,101.84,100.27,106.01,100.18,100.77,100.93,100.21,101.07,100.43,102.07,101.01,100.18,100.28,100.36,100.19,101.36,100.92,100.13
hopPlus,100.00,100.00,100.95,101.03,100.18,100.64,100.98,100.81,100.72,100.38,101.25,100.62,100.25,101.68,100.58,100.07,100.87,100.93,100.99
