heuristic,n10,n15,n20,n25,n30,n35,n40,n45,n50,n55,n60,n65,n70,n75,n80,n85,n90,n95,n100
optimizerOnly,101.06,100.00,100.31,100.80,100.37,100.36,100.43,100.00,100.06,100.05,100.05,100.00,100.02,100.02,100.07,100.01,100.00,100.04,100.01
topDown,165.92,135.81,125.57,118.84,121.84,118.23,112.81,121.94,119.37,115.20,115.06,113.67,115.11,115.53,113.90,113.60,113.90,111.98,112.19
bottomUp,103.24,100.54,100.31,100.77,100.61,100.64,100.50,100.28,100.28,100.12,100.18,100.09,100.13,100.08,100.08,100.05,100.06,100.06,100.03
euclidean,104.46,103.85,101.08,104.25,102.39,101.69,101.26,101.27,101.56,100.66,100.92,101.06,101.34,100.83,101.60,101.41,101.25,101.42,101.40
horizontal,114.70,111.01,108.93,113.31,109.53,108.07,108.09,109.10,106.74,106.21,108.81,108.06,107.26,105.25,106.24,105.09,106.69,105.04,105.64
hop,111.99,113.45,109.90,113.75,108.97,107.69,107.45,107.65,105.49,105.85,107.06,107.33,106.36,104.46,106.34,105.12,106.26,104.75,104.86
topDownPlus,102.26,100.00,100.41,100.00,100.00,100.46,100.38,100.00,100.03,100.00,100.05,100.03,100.02,100.00,100.02,100.01,100.01,100.01,100.01
bottomUpPlus,100.00,100.00,100.00,100.00,100.00,100.36,100.41,100.00,100.07,100.02,100.05,100.00,100.02,100.00,100.00,100.01,100.01,100.01,100.01
euclideanPlus,101.18,100.00,100.00,100.54,100.00,100.36,100.41,100.00,100.06,100.04,100.00,100.03,100.02,100.02,100.06,100.01,100.02,100.02,100.00
horizontalPlus,101.18,100.00,100.31,100.41,100.00,100.52,100.36,100.00,100.03,100.02,100.05,100.00,100.03,100.00,100.02,100.01,100.03,100.01,100.01
hopPlus,102.26,100.00,100.72,100.41,100.00,100.58,100.31,100.00,100.16,100.02,100.05,100.00,100.02,100.01,100.00,100.01,100.03,100.03,100.01
