heuristic,n10,n15,n20,n25,n30,n35,n40,n45,n50,n55,n60,n65,n70,n75,n80,n85,n90,n95,n100
optimizerOnly,90.00,100.00,90.00,70.00,90.00,90.00,70.00,100.00,90.00,80.00,90.00,100.00,90.00,80.00,80.00,90.00,100.00,60.00,90.00
topDown,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bottomUp,80.00,90.00,90.00,60.00,70.00,60.00,60.00,60.00,60.00,60.00,50.00,70.00,60.00,50.00,40.00,60.00,50.00,50.00,70.00
euclidean,70.00,70.00,70.00,10.00,30.00,40.00,30.00,10.00,20.00,30.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
horizontal,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
hop,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topDownPlus,80.00,100.00,90.00,100.00,100.00,80.00,80.00,100.00,90.00,100.00,90.00,90.00,90.00,100.00,90.00,90.00,90.00,80.00,90.00
bottomUpPlus,100.00,100.00,100.00,100.00,100.00,90.00,70.00,100.00,80.00,90.00,90.00,100.00,90.00,100.00,100.00,90.00,90.00,90.00,90.00
euclideanPlus,90.00,100.00,100.00,80.00,100.00,90.00,70.00,100.00,80.00,90.00,100.00,90.00,90.00,80.00,90.00,90.00,80.00,80.00,100.00
horizontalPlus,90.00,100.00,90.00,90.00,100.00,80.00,70.00,100.00,90.00,90.00,90.00,100.00,80.00,100.00,90.00,90.00,70.00,80.00,90.00
hopPlus,80.00,100.00,80.00,90.00,100.00,70.00,80.00,100.00,70.00,90.00,90.00,100.00,90.00,90.00,100.00,90.00,70.00,70.00,90.00
