filename,optimal,optimizerOnly,topDown,bottomUp,euclidean,horizontal,hop,topDownPlus,bottomUpPlus,euclideanPlus,horizontalPlus,hopPlus
cluster-n10-c3-r0-s-4972683369271453960.json,1,1,4,1,1,3,5,1,1,1,1,1
cluster-n10-c3-r1-s4755622236989466036.json,6,6,8,6,6,11,11,6,6,6,6,6
cluster-n10-c3-r2-s1092083446069765248.json,3,3,4,3,3,4,3,3,3,3,3,3
cluster-n10-c3-r3-s4503168388465453601.json,4,4,5,4,4,5,5,4,4,4,4,4
cluster-n10-c3-r4-s-3342383633144681140.json,4,4,5,4,5,5,5,4,4,4,4,4
cluster-n10-c3-r5-s6836568506072080118.json,4,4,5,4,4,5,6,4,4,4,4,4
cluster-n10-c3-r6-s-2651111998922877327.json,2,2,2,2,3,3,2,2,2,2,2,2
cluster-n10-c3-r7-s-5257604778215879520.json,0,0,1,0,0,0,0,0,0,0,0,0
cluster-n10-c3-r8-s5298954437391079618.json,4,4,9,4,4,5,4,4,4,4,4,4
cluster-n10-c3-r9-s-1544970817896810324.json,0,0,2,0,0,0,1,0,0,0,0,0
cluster-n100-c12-r0-s-5128016860359238732.json,869,870,1636,872,1249,1260,1739,1270,869,1243,869,870
cluster-n100-c12-r1-s3596673253889729385.json,1109,1110,1313,1117,1118,1322,1198,1109,1110,1109,1109,1111
cluster-n100-c12-r2-s-6139822020582680716.json,437,439,573,441,441,599,558,440,437,437,439,439
cluster-n100-c12-r3-s-4087044595004343727.json,1227,1227,1359,1227,1252,1579,1566,1229,1227,1227,1227,1227
cluster-n100-c12-r4-s-7035447845658785470.json,1058,1062,1258,1062,1147,1222,1431,1058,1058,1131,1062,1143
cluster-n100-c12-r5-s-6952633147197490662.json,784,789,1278,790,792,1283,1128,784,785,785,785,786
cluster-n100-c12-r6-s4367296745435792467.json,1234,1236,1723,1242,1242,1357,1385,1238,1238,1237,1238,1237
cluster-n100-c12-r7-s8987754666945962503.json,498,499,727,502,501,584,569,499,498,498,498,498
cluster-n100-c12-r8-s-5895171329898275699.json,958,958,1187,967,983,1207,1086,966,966,958,958,966
cluster-n100-c12-r9-s-8770588431429725762.json,709,709,810,709,756,884,827,712,709,709,709,709
cluster-n15-c3-r0-s-4980945789649841896.json,8,8,16,8,8,14,10,13,8,8,8,8
cluster-n15-c3-r1-s1946588598930985430.json,5,5,12,5,5,6,5,5,5,5,5,5
cluster-n15-c3-r2-s-1647495873705373680.json,6,6,39,6,7,8,14,6,6,6,6,6
cluster-n15-c3-r3-s2868790416052145765.json,8,8,12,8,8,11,11,8,8,8,8,8
cluster-n15-c3-r4-s-6089968677426900432.json,10,10,13,10,10,13,12,10,10,10,10,10
cluster-n15-c3-r5-s-4886449326399715878.json,7,7,14,7,7,8,7,7,7,7,7,7
cluster-n15-c3-r6-s-4632695887653498523.json,26,26,36,26,26,31,34,26,26,26,26,26
cluster-n15-c3-r7-s9040822222679173724.json,14,14,16,16,14,18,18,14,14,14,14,14
cluster-n15-c3-r8-s-6874753323234909047.json,5,5,10,5,6,6,6,5,5,6,6,5
cluster-n15-c3-r9-s-1929312183105933540.json,17,17,27,17,17,26,23,17,17,17,17,17
cluster-n20-c4-r0-s-4942938662781205063.json,14,14,22,14,14,17,16,14,14,14,14,14
cluster-n20-c4-r1-s3800096882043324115.json,29,31,36,29,31,30,39,30,29,31,29,31
cluster-n20-c4-r2-s-3802826258271402066.json,19,19,27,19,19,28,26,19,19,19,19,19
cluster-n20-c4-r3-s3008231453656586950.json,28,28,52,28,28,40,46,28,28,28,28,28
cluster-n20-c4-r4-s2859573706375437232.json,22,22,26,23,24,23,27,22,22,22,22,22
