heuristic,n10,n15,n20,n25,n30,n35,n40,n45,n50,n55,n60,n65,n70,n75,n80,n85,n90,n95,n100
optimizerOnly,107.92,102.00,105.18,102.90,100.33,102.64,100.44,100.50,100.68,100.24,100.97,100.16,100.12,100.67,102.09,100.45,100.89,100.18,100.26
topDown,181.51,122.37,125.70,131.02,132.88,125.99,121.57,118.79,122.57,119.56,124.04,120.17,128.13,121.63,112.23,123.10,116.90,113.83,113.87
bottomUp,106.60,100.97,101.97,101.93,100.64,101.08,101.09,101.43,101.08,101.58,100.78,100.65,100.98,100.94,101.34,100.71,100.78,100.62,101.00
euclidean,108.78,102.40,103.51,104.50,102.19,103.85,103.06,101.56,103.08,102.17,101.86,101.48,101.73,102.04,101.81,102.20,101.90,101.90,101.82
horizontal,129.94,117.27,113.01,117.79,109.50,110.04,112.13,107.49,111.98,110.87,111.75,110.21,106.66,106.21,106.16,108.42,108.07,106.95,107.40
hop,126.21,116.83,120.96,116.15,111.05,110.48,112.05,108.27,111.27,109.61,110.36,108.24,106.40,106.71,107.54,107.51,106.38,107.58,107.80
topDownPlus,108.53,101.45,100.25,101.74,100.64,103.02,100.42,100.34,100.41,100.75,100.35,100.21,100.22,100.65,100.49,100.49,100.30,100.25,100.49
bottomUpPlus,100.00,100.57,100.25,100.37,100.17,100.36,100.34,100.13,100.17,100.52,100.14,100.06,100.12,100.02,100.23,100.08,100.17,100.11,100.19
euclideanPlus,100.00,100.87,101.40,100.73,100.53,100.75,100.66,100.28,100.90,100.15,100.09,100.16,100.18,100.07,100.33,100.09,100.20,100.21,100.35
horizontalPlus,102.40,100.57,100.25,101.66,100.48,100.92,100.43,100.65,100.78,100.37,100.21,100.12,100.31,100.23,100.42,100.88,100.24,100.41,100.64
hopPlus,100.00,101.45,100.96,100.16,100.86,102.45,100.44,100.20,101.14,100.44,100.20,100.14,100.28,100.12,100.55,100.53,100.26,100.20,100.83
