heuristic,10,15,20,25,30,35,40,45,50
greedyOptimizer,2.9,10.6,22.5,42.1,56.7,77.9,121.1,147.6,193.4
topDown,4.5,19.5,34.3,61.5,78.7,110.2,151.6,192.9,291.6
buttomUp,2.8,10.8,23.2,41.5,57.0,78.4,120.7,146.4,194.9
euclidean,3.0,10.8,23.5,45.7,58.1,79.2,122.4,147.3,211.9
horizontal,4.1,14.1,28.7,55.1,72.8,95.6,142.1,176.0,262.3
hop,4.2,14.0,29.2,51.4,72.9,94.1,139.6,172.5,223.6
topDown+,2.8,11.1,22.7,44.8,56.7,77.4,120.2,146.5,206.3
buttomUp+,2.8,10.6,22.4,40.7,56.5,77.1,120.0,145.4,193.4
euclidean+,2.8,10.7,22.4,44.6,56.3,77.1,120.9,145.8,193.9
horizontal+,2.8,10.7,22.3,44.0,56.5,77.6,120.2,145.7,199.0
hop+,2.8,10.6,22.5,41.0,56.6,77.7,120.3,146.1,194.1
