heuristic,10,15,20,25,30,35,40,45,50
greedyOptimizer,6.0,19.3,40.0,61.1,92.4,159.6,176.4,231.1,293.3
topDown,9.5,22.7,48.1,75.1,124.7,197.2,216.0,272.3,355.9
buttomUp,5.9,19.1,38.8,58.6,92.6,157.3,177.6,232.5,294.3
euclidean,6.0,19.3,39.4,60.1,94.0,161.6,181.4,232.8,299.8
horizontal,7.2,22.0,43.2,67.3,101.4,171.3,196.7,245.8,325.2
hop,7.0,22.0,46.2,66.8,102.0,172.2,196.7,247.9,324.8
topDown+,6.2,19.1,38.3,58.5,92.5,159.4,177.1,230.8,292.3
buttomUp+,5.6,19.0,38.3,57.7,92.2,156.0,176.1,230.0,292.0
euclidean+,5.6,19.0,38.8,57.9,92.3,156.2,176.3,230.2,294.3
horizontal+,5.8,19.1,38.7,58.8,92.3,157.0,176.6,231.0,294.7
hop+,5.6,19.1,38.2,59.0,92.9,156.5,176.4,230.4,296.7
